sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
10000521,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000521,Economic,.60000002,5,897,.022398766,nongold,.66666669,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000531,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000531,Economic,.44444445,9,897,.022398766,nongold,.66666669,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000541,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000541,Economic,.2857143,14,897,.022398766,nongold,.83333331,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000551,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000551,Economic,.64285713,14,897,.022398766,nongold,.5,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000561,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000561,Economic,.46666667,15,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000561,Social,1,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000571,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000571,Economic,.33333334,3,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000571,Social,-.22222222,9,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000581,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000581,Economic,.40000001,5,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000581,Social,.083333336,12,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000591,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000591,Economic,.66666669,6,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000591,Social,.40000001,10,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000601,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000601,Economic,.083333336,12,897,.022398766,nongold,.33333334,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000601,Social,1,2,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000611,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000611,Economic,.33333334,3,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000611,Social,.41666666,12,783,.029228823,nongold,1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000621,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000621,Economic,.66666669,3,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000621,Social,.5,8,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000631,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000631,Economic,.5,2,897,.022398766,nongold,2,1,779,.029833695,,,,,Con 1987,Conservatives,1987
10000641,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000641,Economic,.84482759,116,897,.022398766,nongold,1.5714285,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000641,Social,.36842105,19,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000651,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000651,Economic,.7883212,137,897,.022398766,nongold,1.3333334,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000651,Social,.25,4,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000661,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000661,Economic,.54545456,11,897,.022398766,nongold,.75,4,779,.029833695,,,,,Con 1987,Conservatives,1987
10000671,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000671,Economic,.41666666,12,897,.022398766,nongold,1,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000681,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000681,Economic,.14285715,14,897,.022398766,nongold,.2,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000691,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000691,Economic,.40000001,15,897,.022398766,nongold,.2857143,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000701,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000701,Economic,.44444445,9,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000701,Social,0,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000711,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000711,Economic,.58333331,12,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000711,Social,.33333334,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000721,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000721,Economic,1.1111112,9,897,.022398766,nongold,1.3333334,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000721,Social,.33333334,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000731,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000731,Economic,.33333334,3,897,.022398766,nongold,1,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000731,Social,-1,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000741,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000741,Economic,.4375,16,897,.022398766,nongold,1.1428572,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000751,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000751,Economic,-.2,5,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000751,Social,1,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000761,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000761,Economic,-.46666667,30,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000761,Social,.80000001,5,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000771,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000771,Economic,.66666669,3,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000771,Social,-.2,10,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000781,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000781,Economic,1,1,897,.022398766,gold,,,,,,,,,Con 1987,Conservatives,1987
10000781,Social,.5,4,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000791,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000791,Economic,.66666669,6,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000791,Social,1.6363636,11,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000801,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000801,Economic,1.1176471,17,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000801,Social,.83333331,12,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000811,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000811,Economic,.96666664,30,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
